element,id,geometry,name,name:en,public_transport,operator
node,172522965,POINT (139.6541635 35.4868754),新子安,Shin-Koyasu,station,東日本旅客鉄道
node,263267206,POINT (139.5314325 35.3543087),大船,Ōfuna,station,
node,263271899,POINT (139.6451231 35.4846434),子安,Koyasu,station,京浜急行電鉄
node,263274493,POINT (139.6399999 35.4814272),神奈川新町,Kanagawa-shimmachi,station,京浜急行電鉄 (Keikyu Corporation)
node,263274999,POINT (139.6231953 35.4662066),横浜,Yokohama,station,京浜急行電鉄
node,263275159,POINT (139.6275201 35.4715259),神奈川,Kanagawa,station,
node,263298361,POINT (139.6112899 35.3225918),六浦,Mutsuura,station,京浜急行電鉄
node,266084129,POINT (139.5172312 35.5428783),青葉台,Aobadai,station,東京急行電鉄
node,266084537,POINT (139.5514544 35.5585746),江田,Eda,station,東急電鉄
node,280474787,POINT (139.5670538 35.510947),鴨居,Kamoi,station,東日本旅客鉄道
node,280474931,POINT (139.5395328 35.5146971),中山,Nakayama,station,東日本旅客鉄道
node,280474943,POINT (139.6462868 35.4923774),大口,Oguchi,station,東日本旅客鉄道
node,280475163,POINT (139.5165915 35.5263056),十日市場,Tokaichiba,station,東日本旅客鉄道
node,280475974,POINT (139.5997176 35.5086932),小机,Kozukue,station,東日本旅客鉄道
node,280476284,POINT (139.6333271 35.4779431),東神奈川,Higashi-Kanagawa,station,東日本旅客鉄道
node,280728684,POINT (139.6359064 35.3421054),海の公園柴口,Uminokoen-Shibaguchi,station,
node,280728809,POINT (139.640836 35.3408226),八景島,Hakkeijima,station,
node,280728896,POINT (139.6320353 35.3371661),海の公園南口,Uminokoen-Minamiguchi,station,
node,280728933,POINT (139.6437391 35.3583376),幸浦,Sachiura,station,
node,280728953,POINT (139.6485436 35.3496489),福浦,Fukuura,station,
node,280728980,POINT (139.646291 35.3534255),産業振興センター,Sangyoshinko Center,station,
node,307882453,POINT (139.4921288 35.5455896),恩田,Onda,station,東急電鉄
node,355845276,POINT (139.5725338 35.4015158),上永谷,Kaminagaya,station,横浜市交通局
node,694234836,POINT (139.6298585 35.52186),大倉山,Okurayama,station,東京急行電鉄
node,823268950,POINT (139.4824589 35.4057234),ゆめが丘,Yumegaoka,station,
node,823269102,POINT (139.5063488 35.4298971),弥生台,Yayoidai,station,
node,823269235,POINT (139.526377 35.452353),南万騎が原,Minami-Makigahara,station,
node,823269267,POINT (139.5218816 35.4394435),緑園都市,Ryokuen-toshi,station,
node,823269414,POINT (139.4872874 35.4152489),いずみ中央,Izumi-Chuo,station,
node,823269446,POINT (139.4949527 35.429465),いずみ野,Izumino,station,
node,823271603,POINT (139.5493487 35.4749432),鶴ケ峰,Tsurugamine,station,
node,823272153,POINT (139.5025493 35.4678244),三ツ境,Mitsukyo,station,
node,823272267,POINT (139.5868099 35.4636072),和田町,Wadamachi,station,
node,823272622,POINT (139.5656561 35.4781303),西谷,Nishiya,station,
node,823272743,POINT (139.6084809 35.4532879),西横浜,Nishi-Yokohama,station,
node,823272815,POINT (139.6026308 35.4540049),天王町,Tennocho,station,
node,823272975,POINT (139.5322366 35.4634653),二俣川,Futamatagawa,station,
node,823273031,POINT (139.5946998 35.4588276),星川,Hoshikawa,station,
node,823273057,POINT (139.4825295 35.4703958),瀬谷,Seya,station,
node,823273226,POINT (139.5800137 35.467719),上星川,Kami-Hoshikawa,station,
node,823273354,POINT (139.6163426 35.4596654),平沼橋,Hiranuma-bashi,station,相模鉄道
node,1017449063,POINT (139.6332256 35.4985364),妙蓮寺,Myorenji,station,東京急行電鉄
node,1218588914,POINT (139.6252491 35.4746815),反町,Tammachi,station,東京急行電鉄
node,1656240306,POINT (139.5567625 35.4303614),東戸塚,Higashi-Totsuka,station,東日本旅客鉄道
node,1705352003,POINT (139.5142614 35.4604534),希望ヶ丘,Kibogaoka,station,
node,2468944535,POINT (139.5782611 35.5534049),センター北,Center Kita,station,横浜市交通局
node,2550872398,POINT (139.6216115 35.3430205),金沢文庫,Kanazawa-bunko,station,京浜急行電鉄
node,2550872399,POINT (139.6201441 35.3311864),金沢八景,Kanazawa-Hakkei,station,京浜急行電鉄
node,2550872475,POINT (139.6669214 35.4952868),生麦,Namamugi,station,京浜急行電鉄
node,2550872524,POINT (139.6554751 35.4870984),京急新子安,Keikyu Shinkoyasu,station,京浜急行電鉄
