name,name:en,public_transport,operator,lon,lat
新子安,Shin-Koyasu,station,東日本旅客鉄道,139.6541635,35.4868754
大船,Ōfuna,station,,139.5314325,35.3543087
子安,Koyasu,station,京浜急行電鉄,139.6451231,35.4846434
神奈川新町,Kanagawa-shimmachi,station,京浜急行電鉄 (Keikyu Corporation),139.6399999,35.4814272
横浜,Yokohama,station,京浜急行電鉄,139.6231953,35.4662066
神奈川,Kanagawa,station,,139.6275201,35.4715259
六浦,Mutsuura,station,京浜急行電鉄,139.6112899,35.3225918
青葉台,Aobadai,station,東京急行電鉄,139.5172312,35.5428783
江田,Eda,station,東急電鉄,139.5514544,35.5585746
鴨居,Kamoi,station,東日本旅客鉄道,139.5670538,35.510947
中山,Nakayama,station,東日本旅客鉄道,139.5395328,35.5146971
大口,Oguchi,station,東日本旅客鉄道,139.6462868,35.4923774
十日市場,Tokaichiba,station,東日本旅客鉄道,139.5165915,35.5263056
小机,Kozukue,station,東日本旅客鉄道,139.5997176,35.5086932
東神奈川,Higashi-Kanagawa,station,東日本旅客鉄道,139.6333271,35.4779431
海の公園柴口,Uminokoen-Shibaguchi,station,,139.6359064,35.3421054
八景島,Hakkeijima,station,,139.640836,35.3408226
海の公園南口,Uminokoen-Minamiguchi,station,,139.6320353,35.3371661
幸浦,Sachiura,station,,139.6437391,35.3583376
福浦,Fukuura,station,,139.6485436,35.3496489
産業振興センター,Sangyoshinko Center,station,,139.646291,35.3534255
恩田,Onda,station,東急電鉄,139.4921288,35.5455896
上永谷,Kaminagaya,station,横浜市交通局,139.5725338,35.4015158
大倉山,Okurayama,station,東京急行電鉄,139.6298585,35.52186
ゆめが丘,Yumegaoka,station,,139.4824589,35.4057234
弥生台,Yayoidai,station,,139.5063488,35.4298971
南万騎が原,Minami-Makigahara,station,,139.526377,35.452353
緑園都市,Ryokuen-toshi,station,,139.5218816,35.4394435
いずみ中央,Izumi-Chuo,station,,139.4872874,35.4152489
いずみ野,Izumino,station,,139.4949527,35.429465
鶴ケ峰,Tsurugamine,station,,139.5493487,35.4749432
三ツ境,Mitsukyo,station,,139.5025493,35.4678244
和田町,Wadamachi,station,,139.5868099,35.4636072
西谷,Nishiya,station,,139.5656561,35.4781303
西横浜,Nishi-Yokohama,station,,139.6084809,35.4532879
天王町,Tennocho,station,,139.6026308,35.4540049
二俣川,Futamatagawa,station,,139.5322366,35.4634653
星川,Hoshikawa,station,,139.5946998,35.4588276
瀬谷,Seya,station,,139.4825295,35.4703958
上星川,Kami-Hoshikawa,station,,139.5800137,35.467719
平沼橋,Hiranuma-bashi,station,相模鉄道,139.6163426,35.4596654
妙蓮寺,Myorenji,station,東京急行電鉄,139.6332256,35.4985364
反町,Tammachi,station,東京急行電鉄,139.6252491,35.4746815
東戸塚,Higashi-Totsuka,station,東日本旅客鉄道,139.5567625,35.4303614
希望ヶ丘,Kibogaoka,station,,139.5142614,35.4604534
センター北,Center Kita,station,横浜市交通局,139.5782611,35.5534049
金沢文庫,Kanazawa-bunko,station,京浜急行電鉄,139.6216115,35.3430205
金沢八景,Kanazawa-Hakkei,station,京浜急行電鉄,139.6201441,35.3311864
生麦,Namamugi,station,京浜急行電鉄,139.6669214,35.4952868
京急新子安,Keikyu Shinkoyasu,station,京浜急行電鉄,139.6554751,35.4870984
桜木町,Sakuragicho,station,,139.6310016,35.4510054
鶴見,Tsurumi,station,東日本旅客鉄道,139.6759759,35.5083388
菊名,Kikuna,station,東日本旅客鉄道,139.6302732,35.5096856
長津田,Nagatsuta,station,東日本旅客鉄道,139.4952527,35.5317189
新横浜,Shin-Yokohama,station,,139.6175837,35.5068329
保土ヶ谷,Hodogaya,station,東日本旅客鉄道,139.5997021,35.4466889
並木中央,Namiki-Chuo,station,,139.6429378,35.3654383
並木北,Namiki-Kita,station,,139.642701,35.371877
市大医学部,Shidai-Igakubu,station,,139.6501527,35.3439482
新杉田,Shin-Sugita,station,,139.6204103,35.3860018
野島公園,Nojimakoen,station,横浜シーサイドライン,139.6314529,35.3305191
金沢八景,Kanazawa-Hakkei,station,横浜シーサイドライン,139.6208936,35.3315684
山手,Yamate,station,東日本旅客鉄道,139.6462837,35.4272033
新杉田,Shin-Sugita,station,東日本旅客鉄道,139.6195735,35.386554
本郷台,Hongodai,station,東日本旅客鉄道,139.5503004,35.3674374
根岸,Negishi,station,東日本旅客鉄道,139.6350502,35.4156572
横浜,Yokohama,station,,139.6225042,35.4656854
洋光台,Yokodai,station,東日本旅客鉄道,139.5964654,35.3786975
港南台,Konandai,station,東日本旅客鉄道,139.5766957,35.3752947
磯子,Isogo,station,東日本旅客鉄道,139.6181583,35.4001372
戸塚,Totsuka,station,,139.534215,35.4005483
センター北,Center Kita,station,横浜市交通局,139.578635,35.5533142
センター南,Center Minami,station,横浜市交通局,139.5746375,35.5452895
港南中央,Konan-chuo,station,,139.5911667,35.4011996
上大岡,Kamiooka,station,横浜市交通局,139.5959771,35.4090326
踊場,Odoriba,,横浜市交通局,139.5185313,35.4056591
舞岡,Maioka,station,横浜市交通局,139.5509416,35.4024586
下永谷,Shimonagaya,station,横浜市交通局,139.5594212,35.4025885
鳥浜,Torihama,station,,139.6417394,35.3770641
南部市場,Nambu-Shijo,station,,139.6332331,35.3801794
日吉,Hiyoshi,station,東急電鉄,139.6468752,35.5534689
