global,Reconstruction Year,Reconstruction Obs,Satellite Altimetry Year,Satellite Altimetry,Quadratic Fit Year,Quadratic Fit,Units,,Process,"Percentage Contribution, 1993 to Present"
global,1970.5,-56.83988,1993,-45.957685,1993,-38.52704,mm,,Sterodynamic,40
global,1971.5,-56.445915,1993.0834,-37.97313,1993.0834,-38.34607,mm,,Glaciers,20
global,1972.5,-53.820293,1993.1666,-41.054863,1993.1666,-38.1646,mm,,Greenland Ice Sheet,20
global,1973.5,-56.33513,1993.25,-38.158152,1993.25,-37.98264,mm,,Antarctic Ice Sheet,10
global,1974.5,-58.32233,1993.3334,-41.66791,1993.3334,-37.800178,mm,,Terrestrial Water Storage,10
global,1975.5,-57.72208,1993.4166,-35.732158,1993.4166,-37.61722,mm,,,
global,1976.5,-54.343227,1993.5,-37.36825,1993.5,-37.43377,mm,,,
global,1977.5,-52.348737,1993.5834,-29.482286,1993.5834,-37.249822,mm,,,
global,1978.5,-56.2283,1993.6666,-29.834386,1993.6666,-37.065376,mm,,,
global,1979.5,-52.913226,1993.75,-30.67221,1993.75,-36.880437,mm,,,
global,1980.5,-48.424784,1993.8334,-33.132285,1993.8334,-36.695,mm,,,
global,1981.5,-50.63775,1993.9166,-32.98263,1993.9166,-36.509067,mm,,,
global,1982.5,-47.363296,1994,-34.81403,1994,-36.32264,mm,,,
global,1983.5,-45.026876,1994.0834,-35.09484,1994.0834,-36.135715,mm,,,
global,1984.5,-43.395318,1994.1666,-33.41285,1994.1666,-35.94829,mm,,,
global,1985.5,-43.696985,1994.25,-36.04188,1994.25,-35.760377,mm,,,
global,1986.5,-43.439955,1994.3334,-37.465725,1994.3334,-35.571963,mm,,,
global,1987.5,-37.3481,1994.4166,-38.582154,1994.4166,-35.383053,mm,,,
global,1988.5,-38.365833,1994.5,-30.62689,1994.5,-35.19365,mm,,,
global,1989.5,-39.994508,1994.5834,-26.004292,1994.5834,-35.003744,mm,,,
global,1990.5,-36.50404,1994.6666,-26.513688,1994.6666,-34.81335,mm,,,
global,1991.5,-32.271422,1994.75,-25.014194,1994.75,-34.622453,mm,,,
global,1992.5,-28.333122,1994.8334,-30.324552,1994.8334,-34.431063,mm,,,
global,1993.5,-28.141676,1994.9166,-27.014,1994.9166,-34.239177,mm,,,
global,1994.5,-26.463741,1995,-26.830023,1995,-34.046795,mm,,,
global,1995.5,-25.278205,1995.0834,-29.891856,1995.0834,-33.85392,mm,,,
global,1996.5,-24.582222,1995.1666,-31.121468,1995.1666,-33.660542,mm,,,
global,1997.5,-22.855612,1995.25,-32.496918,1995.25,-33.46667,mm,,,
global,1998.5,-22.416122,1995.3334,-29.567692,1995.3334,-33.272304,mm,,,
global,1999.5,-21.41392,1995.4166,-34.243554,1995.4166,-33.07744,mm,,,
global,2000.5,-17.60052,1995.5,-29.047394,1995.5,-32.882083,mm,,,
global,2001.5,-12.195747,1995.5834,-24.898577,1995.5834,-32.68623,mm,,,
global,2002.5,-7.808135,1995.6666,-18.970042,1995.6666,-32.489877,mm,,,
global,2003.5,-5.15767,1995.75,-24.191312,1995.75,-32.29303,mm,,,
global,2004.5,-2.57147,1995.8334,-36.002122,1995.8334,-32.095686,mm,,,
global,2005.5,0.103849,1995.9166,-26.9207,1995.9166,-31.897847,mm,,,
global,2006.5,1.97573,1996,-30.258475,1996,-31.699512,mm,,,
global,2007.5,2.997877,1996.0834,-26.379133,1996.0834,-31.50068,mm,,,
global,2008.5,4.410251,1996.1666,-28.368,1996.1666,-31.301353,mm,,,
global,2009.5,9.444622,1996.25,-33.615198,1996.25,-31.101527,mm,,,
global,2010.5,10.346954,1996.3334,-30.843582,1996.3334,-30.901207,mm,,,
global,2011.5,11.721801,1996.4166,-31.431347,1996.4166,-30.700391,mm,,,
global,2012.5,21.45818,1996.5,-24.668448,1996.5,-30.499078,mm,,,
global,2013.5,24.849322,1996.5834,-28.088488,1996.5834,-30.29727,mm,,,
global,2014.5,28.153516,1996.6666,-19.68976,1996.6666,-30.094966,mm,,,
global,2015.5,36.938373,1996.75,-15.96072,1996.75,-29.892165,mm,,,
global,2016.5,42.197216,1996.8334,-24.975298,1996.8334,-29.688869,mm,,,
global,2017.5,42.65127,1996.9166,-30.459903,1996.9166,-29.485075,mm,,,
global,2018.5,44.943113,1997,-28.71265,1997,-29.280787,mm,,,
global,2019.5,52.757293,1997.0834,-28.688187,1997.0834,-29.076,mm,,,
global,2020.5,54.328572,1997.1666,-26.901975,1997.1666,-28.87072,mm,,,
global,2021.5,54.944508,1997.25,-27.86146,1997.25,-28.664943,mm,,,
global,,,1997.3334,-27.719164,1997.3334,-28.45867,mm,,,
global,,,1997.4166,-25.221685,1997.4166,-28.2519,mm,,,
global,,,1997.5,-19.673612,1997.5,-28.044634,mm,,,
global,,,1997.5834,-15.303938,1997.5834,-27.836872,mm,,,
global,,,1997.6666,-11.085339,1997.6666,-27.628614,mm,,,
global,,,1997.75,-10.710121,1997.75,-27.41986,mm,,,
global,,,1997.8334,-17.75835,1997.8334,-27.21061,mm,,,
global,,,1997.9166,-20.038566,1997.9166,-27.000863,mm,,,
global,,,1998,-21.732405,1998,-26.79062,mm,,,
global,,,1998.0834,-23.81805,1998.0834,-26.579883,mm,,,
global,,,1998.1666,-24.837244,1998.1666,-26.368648,mm,,,
global,,,1998.25,-23.064211,1998.25,-26.156917,mm,,,
global,,,1998.3334,-31.909004,1998.3334,-25.944691,mm,,,
global,,,1998.4166,-24.290849,1998.4166,-25.731968,mm,,,
global,,,1998.5,-27.261568,1998.5,-25.518749,mm,,,
global,,,1998.5834,-20.979175,1998.5834,-25.305033,mm,,,
global,,,1998.6666,-22.70701,1998.6666,-25.090823,mm,,,
global,,,1998.75,-21.016467,1998.75,-24.876114,mm,,,
global,,,1998.8334,-25.258265,1998.8334,-24.660911,mm,,,
global,,,1998.9166,-26.003743,1998.9166,-24.445212,mm,,,
global,,,1999,-28.323933,1999,-24.229016,mm,,,
global,,,1999.0834,-25.484787,1999.0834,-24.012323,mm,,,
global,,,1999.1666,-25.34069,1999.1666,-23.795135,mm,,,
global,,,1999.25,-28.333709,1999.25,-23.577452,mm,,,
global,,,1999.3334,-28.241392,1999.3334,-23.35927,mm,,,
global,,,1999.4166,-26.147451,1999.4166,-23.140594,mm,,,
global,,,1999.5,-21.474717,1999.5,-22.921422,mm,,,
global,,,1999.5834,-17.835027,1999.5834,-22.701753,mm,,,
global,,,1999.6666,-13.434646,1999.6666,-22.481589,mm,,,
global,,,1999.75,-15.514004,1999.75,-22.260929,mm,,,
global,,,1999.8334,-15.613119,1999.8334,-22.039771,mm,,,
